State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,Year Average
Indiana,2015,0.013498752174698788,0.026206162650602396,0.0012755106084337347,0.2510151295180723,7.22289156626506,4.225903614457831,37.13253012048193,23.518072289156628,0.07299888873795181
Indiana,2016,0.013857478082474232,0.02654231958762886,0.00040434398969072167,0.24599013402061853,1.3814432989690721,3.9072164948453607,35.154639175257735,23.969072164948454,0.07169856892010308
Iowa,2006,0.008230118,0.016324806451612904,0.000474706741935484,0.20478212903225812,1.3225806451612903,3.5161290322580645,19.903225806451612,15.387096774193548,0.05745294005645163
Iowa,2007,0.007358557680306903,0.028938930946291543,0.0005633586291560103,0.2541347033248085,2.084398976982097,3.7161125319693094,34.588235294117645,15.39386189258312,0.07274888764514073
Iowa,2008,0.0074544361764705995,0.027279816176470576,0.0004481026470588236,0.256120397058824,1.6323529411764706,3.676470588235294,33.20343137254902,15.769607843137255,0.072825688014706
Iowa,2009,0.006996748080200491,0.02615857142857142,0.0003350258746867167,0.2405315413533838,1.1979949874686717,3.380952380952381,32.097744360902254,15.192982456140351,0.0685054716842106
Iowa,2010,0.007491377820707067,0.028712535353535337,0.00039678417929292877,0.2513585833333336,1.0782828282828283,3.654040404040404,34.5,16.06313131313131,0.07198982017171723
Iowa,2011,0.007370355408745246,0.0280168536121673,0.0004989953973384032,0.20853635361216763,2.252851711026616,2.840304182509506,32.7851711026616,15.26425855513308,0.06110563950760464
Iowa,2012,0.0075794216510791405,0.029344552158273383,0.00043040443525179864,0.21759101798561195,1.3489208633093526,3.0431654676258995,35.20503597122302,15.803956834532373,0.06373634905755407
Iowa,2013,0.006766695505050503,0.02833460697887969,0.0004016131267217638,0.20302656749311246,1.9403122130394859,2.726354453627181,32.28833792470156,14.004591368227732,0.05963237077594111
Iowa,2014,0.0063487705364583275,0.02664081597222219,0.00042302867361111094,0.20453614583333246,1.2378472222222223,2.890625,33.7734375,13.196180555555555,0.059487190253906023
Iowa,2015,0.006067910473958332,0.02744391753472221,0.0004071127621527769,0.20965393576388752,0.8819444444444444,2.9114583333333335,34.82118055555556,13.07986111111111,0.06089321913368021
Iowa,2016,0.005994894780219781,0.030609082417582416,0.00019727761538461557,0.21193610439560512,0.2967032967032967,2.6758241758241756,37.26373626373626,12.884615384615385,0.06218433980219798
Kansas,2000,0.009703852443089425,0.02972557723577238,0.0009521257262872626,0.7566922547425466,5.651761517615176,11.089430894308943,40.173441734417345,18.80081300813008,0.19926845253692393
Kansas,2001,0.010594909158176952,0.027977982573726523,0.001003458478552279,0.3366985764075068,5.313672922252011,6.345844504021447,36.83512064343164,19.412868632707774,0.09406873165449063
Kansas,2002,0.008772643960099745,0.027315770573566062,0.0015702145012468822,0.39407412967581057,6.002493765586035,5.882793017456359,35.9214463840399,17.159600997506235,0.10793318967768081
Kansas,2003,0.009623070339901492,0.027759985221674863,0.0018106109852216723,0.3176424170771757,8.848932676518883,5.113300492610837,38.10016420361248,18.307060755336618,0.08920902090599343
Kansas,2004,0.009540076842349315,0.02433055023183923,0.00210937943122102,0.38298482843894904,9.1854714064915,6.151468315301391,29.842349304482227,18.69242658423493,0.10474120873608965
