Year,State,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,State Average
2011,Ohio,22.661928934010152,4.412182741116752,31.523857868020304,25.383756345177666,20.99543147208122
2011,Oklahoma,2.846066134549601,3.482326111744584,45.620296465222346,13.843785632839225,16.44811858608894
2011,Oregon,1.9223602484472049,5.8105590062111805,23.13664596273292,16.17391304347826,11.76086956521739
2011,Pennsylvania,7.20050853614239,3.714130039956411,33.20050853614239,21.127860515800943,16.310751907010534
2011,Rhode Island,1.5303030303030303,2.606060606060606,38.78787878787879,11.431818181818182,13.58901515151515
2011,South Dakota,0.5774647887323944,2.5661971830985917,33.267605633802816,13.625352112676056,12.509154929577464
2011,Texas,3.266459074733096,3.400800711743772,36.58896797153025,21.34608540925267,16.15057829181495
2011,Utah,2.3074792243767313,5.570637119113574,36.445983379501385,30.975069252077564,18.824792243767313
2011,Virginia,4.518225039619652,4.088748019017433,43.44532488114105,16.039619651347067,17.0229793977813
2011,Wyoming,2.0,1.6792873051224944,39.342984409799556,11.893095768374165,13.728841870824054
2012,Arizona,2.3910733262486716,6.42720510095643,40.375132837407016,34.26673751328374,20.865037194473963
2012,Arkansas,2.7852257181942544,6.459644322845417,36.482900136798904,23.77564979480164,17.375854993160054
2012,California,1.5118960912842923,5.3901432386501575,35.90543821315853,19.642146151978636,15.612405923767906
2012,Colorado,9.207906295754027,6.193265007320644,35.52855051244509,36.45827232796486,21.84699853587116
2012,Connecticut,2.0598130841121494,2.994392523364486,38.1196261682243,15.243925233644859,14.604439252336448
2012,Delaware,2.815450643776824,3.927038626609442,35.652360515021456,22.296137339055793,16.17274678111588
2012,District Of Columbia,4.101398601398602,8.660839160839162,34.44055944055944,27.917832167832167,18.78015734265734
2012,Florida,0.5737704918032787,5.2103825136612025,33.478142076502735,12.806010928961749,13.017076502732241
2012,Georgia,1.5261707988980717,5.476584022038567,35.72176308539945,25.082644628099175,16.951790633608816
2012,Hawaii,1.1661764705882354,4.613970588235294,24.814705882352943,8.264705882352942,9.714889705882353
2012,Illinois,5.571212121212121,4.471212121212122,39.97575757575758,22.624242424242425,18.16060606060606
2012,Indiana,8.732026143790849,5.908496732026144,51.11764705882353,22.366013071895424,22.031045751633986
2012,Iowa,1.3489208633093526,3.0431654676258995,35.20503597122302,15.803956834532373,13.85026978417266
2012,Kansas,11.736070381231672,7.730205278592376,38.27272727272727,24.88856304985337,20.656891495601172
2012,Louisiana,3.571830985915493,3.36056338028169,34.32676056338028,23.68169014084507,16.235211267605635
2012,Maine,2.4756606397774688,3.944367176634214,27.543810848400557,12.26981919332406,11.558414464534076
2012,Maryland,3.7863372093023258,3.8561046511627906,36.76889534883721,20.399709302325583,16.20276162790698
2012,Massachusetts,2.8412256267409473,4.22841225626741,24.983286908077993,25.997214484679667,14.512534818941504
2012,Minnesota,0.7636363636363637,2.327272727272727,45.345454545454544,16.854545454545455,16.322727272727274
2012,Nevada,0.8944444444444445,4.197222222222222,39.141666666666666,28.055555555555557,18.072222222222223
2012,New Jersey,3.912251655629139,4.610927152317881,35.89403973509934,27.485099337748345,17.975579470198674
2012,New Mexico,1.3426183844011141,3.4066852367688023,39.760445682451255,27.114206128133706,17.90598885793872
2012,New York,8.157318741450068,5.203830369357045,32.05608755129959,30.44733242134063,18.966142270861834
2012,North Carolina,0.7987012987012987,4.376623376623376,39.496753246753244,18.521103896103895,15.798295454545453
2012,North Dakota,0.36538461538461536,2.107142857142857,29.928571428571427,12.45054945054945,11.212912087912088
2012,Ohio,18.77296587926509,4.1587926509186355,29.95800524934383,24.38057742782152,19.31758530183727
2012,Oklahoma,1.7415204678362572,2.8514619883040937,42.292397660818715,14.780116959064328,15.41637426900585
